index,Ejecución,Tiempo de ejecución (s),Iteraciones,Mejor solución,Mejor fitness,Algoritmo
23,24,52.41931462287903,249,"[array([10, 10]), array([11, 10]), array([14, 10]), array([15.21298747, 24.71298747]), array([14, 32]), array([15.90375295, 33.90375295]), array([16.14709938, 34.14709938]), array([15.42908031, 63.42908031]), array([15. , 79.5]), array([ 22.5, 100. ]), array([ 25, 100]), array([ 25.08712629, 100.        ]), array([25, 92]), array([31.55516041, 94.05516041]), array([43., 94.]), array([44.5, 94. ]), array([50., 94.]), array([89, 94]), array([88.        , 88.23459076]), array([91, 88]), array([90, 88]), array([89.80012607, 90.80012607]), array([90.59581781, 90.09581781]), array([90, 90]), array([90, 90])]",185.61929746652228,GSIS
24,25,39.72459149360657,249,"[array([10, 10]), array([10, 13]), array([11.26788938, 14.26788938]), array([12, 14]), array([12, 15]), array([12.36982832, 15.36982832]), array([100.,  15.]), array([100,  16]), array([100., 100.]), array([100,  92]), array([97. , 93.5]), array([96.34483037, 90.84483037]), array([96, 89]), array([90, 89]), array([90, 90]), array([90., 90.])]",202.6923089954779,GSIS
25,26,39.0480899810791,249,"[array([10, 10]), array([11.5, 11.5]), array([12.94807226, 12.94807226]), array([18, 12]), array([19.64792166, 22.64792166]), array([17.61210077, 25.11210077]), array([17, 37]), array([18.27463329, 38.27463329]), array([100., 100.]), array([100.        ,  99.07690318]), array([100,  99]), array([99.43722854, 96.93722854]), array([99.43722854, 96.        ]), array([93., 87.]), array([90, 87]), array([88.89022911, 87.39022911]), array([88, 91]), array([91, 91]), array([90, 90])]",166.85179334175737,GSIS
26,27,43.89457631111145,249,"[array([10, 10]), array([11.5, 11.5]), array([18.41351948, 13.91351948]), array([18, 21]), array([19, 21]), array([19, 27]), array([19, 28]), array([ 19.5223663, 100.       ]), array([ 20, 100]), array([21.5, 98.5]), array([37, 98]), array([37.55466401, 98.55466401]), array([42.05477263, 97.05477263]), array([42.29996697, 95.79996697]), array([81, 95]), array([81, 91]), array([89.68314337, 93.68314337]), array([90.91349465, 88.91349465]), array([89.39155303, 90.39155303]), array([89.39155303, 90.        ]), array([90, 90])]",180.32886386078545,GSIS
27,28,40.30492186546326,249,"[array([10, 10]), array([64.29921145,  8.79921145]), array([64.29921145, 10.        ]), array([100,  10]), array([100,  12]), array([100,  19]), array([95.8784386, 40.3784386]), array([100.        ,  48.79244965]), array([95.57964624, 53.        ]), array([100.        ,  90.42638529]), array([100,  90]), array([99, 90]), array([91.5, 88.5]), array([88. , 89.5]), array([91.05869311, 89.05869311]), array([91, 89]), array([89.5, 89. ]), array([90, 89]), array([90.04534713, 89.04534713]), array([90. , 90.5]), array([91.69102848, 91.69102848]), array([90., 90.])]",199.01232077223202,GSIS
28,29,54.7607626914978,249,"[array([10, 10]), array([10, 11]), array([10. , 15.5]), array([12.0193228, 17.0193228]), array([13.49324892, 21.49324892]), array([17.08384357, 20.58384357]), array([17, 27]), array([17.02876336, 30.02876336]), array([15.92604304, 34.92604304]), array([13.5, 43. ]), array([13, 44]), array([16, 44]), array([100.        ,  41.07847081]), array([100.       ,  41.3851578]), array([99.09223982, 74.59223982]), array([100., 100.]), array([ 94.11342728, 100.        ]), array([ 91., 100.]), array([88. , 98.5]), array([89. , 98.5]), array([88.34958936, 91.34958936]), array([89.19547285, 90.69547285]), array([90.5, 90. ]), array([90, 90])]",204.06814436592754,GSIS
29,30,33.501667737960815,249,"[array([10, 10]), array([100,  10]), array([100.        ,  10.05853003]), array([100,  11]), array([100.,  12.]), array([99, 12]), array([99.39542072, 15.39542072]), array([100.        ,  15.54874472]), array([100.        ,  16.55826582]), array([ 92.1923582, 100.       ]), array([ 90, 100]), array([90, 87]), array([90, 90]), array([90., 90.]), array([90, 90]), array([90, 90]), array([90, 90])]",197.3071712527244,GSIS
30,31,51.18587017059326,249,"[array([10, 10]), array([11.90264196, 11.90264196]), array([18.52511682, 14.02511682]), array([69.22588319, 12.72588319]), array([100,  12]), array([95, 12]), array([99.40359326, 17.90359326]), array([99, 18]), array([98, 18]), array([95, 18]), array([100.        ,  43.80872859]), array([100.        ,  44.38895133]), array([97, 44]), array([89.70627526, 89.20627526]), array([89.58458385, 89.58458385]), array([90.5, 90. ]), array([90, 90]), array([91.0731241, 91.0731241]), array([91.0731241, 90.       ]), array([89.5, 90. ]), array([90, 90])]",185.51260391255258,GSIS
31,32,34.462546586990356,249,"[array([10, 10]), array([10, 11]), array([11.5, 11. ]), array([11.72751631, 11.72751631]), array([11.99952163, 11.99952163]), array([100.        ,  10.97343867]), array([100.,  70.]), array([100., 100.]), array([100.        ,  91.78106599]), array([99.        , 91.78106599]), array([95.75792047, 96.75792047]), array([90.58945849, 91.58945849]), array([88.81591208, 89.81591208]), array([90.38815907, 89.88815907]), array([90, 90])]",207.63394056939592,GSIS
32,33,50.48152995109558,249,"[array([10, 10]), array([10.75807177, 10.75807177]), array([11.54362349, 10.04362349]), array([18.56629658, 19.06629658]), array([ 27.10840861, 100.        ]), array([ 27.61448141, 100.        ]), array([ 28, 100]), array([ 29.90397436, 100.        ]), array([ 30., 100.]), array([ 31.17142887, 100.        ]), array([ 35.5, 100. ]), array([42.19778227, 98.19778227]), array([91.96429831, 99.96429831]), array([89.60399772, 97.60399772]), array([88.5502166, 96.5502166]), array([93, 95]), array([88.5, 95. ]), array([89.5, 93.5]), array([92., 90.]), array([90, 90]), array([90.67228171, 90.67228171]), array([90, 90])]",182.22046669118296,GSIS
